
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      0.205       56.525           0.000        0.385       342024.8          707.6    0.6305    0.1086      709.00       56.527      -80.079        0.390     1.68417     0.00000
   2     -8.847       51.411          -0.684        0.953       342164.9          707.8    0.6302    0.0989      709.01       51.420      -80.979        1.060     1.68428     0.00000
   3    -12.067       49.601          -1.419        0.580       342150.0          707.9    0.6310    0.0955      708.98       49.604      -81.311        0.669     1.68407     0.00000
   4    -15.330       47.758          -2.129        0.718       342160.0          708.0    0.6319    0.0921      708.97       47.763      -81.647        0.861     1.68400     0.00000
   5    -18.434       46.009          -2.907        0.538       342245.7          708.0    0.6329    0.0891      708.98       46.012      -81.967        0.669     1.68424     0.00000
   6    -21.433       44.318          -3.801        0.470       342240.9          708.1    0.6342    0.0862      708.95       44.320      -82.278        0.607     1.68416     0.00000
   7    -24.144       42.789          -4.803        0.364       342325.3          708.1    0.6358    0.0839      708.97       42.791      -82.562        0.485     1.68443     0.00000
   8    -26.847       41.266          -5.847        0.243       342309.6          708.1    0.6375    0.0819      708.96       41.266      -82.844        0.334     1.68431     0.00000
   9    -29.371       39.842          -6.883        0.136       342388.7          708.2    0.6392    0.0802      708.98       39.842      -83.107        0.192     1.68458     0.00000
  10    -32.200       38.247          -7.915        0.034       342356.2          708.2    0.6409    0.0784      708.95       38.247      -83.397        0.044     1.68445     0.00000
  11    -35.011       36.661          -9.037       -0.061       342423.7          708.2    0.6428    0.0771      708.97       36.661      -83.684       -0.107     1.68471     0.00000
  12    -38.031       34.957         -10.304       -0.160       342352.7          708.2    0.6450    0.0761      708.93       34.957      -83.989       -0.287     1.68444     0.00000
  13    -40.855       33.363         -11.692       -0.228       342390.4          708.2    0.6474    0.0758      708.97       33.364      -84.275       -0.431     1.68454     0.00000
  14    -43.867       31.664         -13.063       -0.294       342300.8          708.2    0.6499    0.0760      708.96       31.665      -84.575       -0.596     1.68416     0.00000
  15    -46.645       30.096         -14.377       -0.351       342329.8          708.2    0.6523    0.0767      708.96       30.098      -84.851       -0.765     1.68436     0.00000
  16    -49.918       28.248         -15.699       -0.423       342205.6          708.0    0.6548    0.0777      708.88       28.252      -85.167       -1.153     1.68401     0.00000
  17    -53.433       26.253         -17.101       -0.519       342194.9          708.3    0.6573    0.0794      709.15       26.269      -85.503       -4.207     1.68343     0.00000
  18    -55.215       23.723         -18.410       -0.619       342013.1          708.8    0.6595    0.0816      709.74       25.264      -85.671       -6.057     1.68126     0.00000
  19    -53.777       21.235         -19.387       -0.667       341971.5          709.2    0.6612    0.0842      710.20       26.075      -85.544       -4.420     1.68011     0.00000
  20    -51.390       18.836         -20.187       -0.595       341767.9          708.8    0.6630    0.0872      709.92       27.421      -85.333       -2.586     1.67994     0.00000
  21    -49.870       17.352         -20.929       -0.393       341743.6          708.3    0.6647    0.0903      709.47       28.279      -85.199       -0.958     1.68104     0.00000
  22    -49.807       16.799         -21.653       -0.052       341566.3          708.0    0.6663    0.0926      709.22       28.314      -85.199        0.988     1.68088     0.00000
  23    -51.424       17.599         -22.036        0.275       341568.2          708.0    0.6670    0.0936      709.25       27.402      -85.344        4.016     1.68089     0.00000
  24    -52.903       18.956         -22.722        0.405       341386.0          707.9    0.6682    0.0947      709.21       26.568      -85.485        6.080     1.68021     0.00000
  25    -52.653       20.739         -23.669        0.556       341387.6          707.9    0.6701    0.0969      709.29       26.709      -85.479        6.484     1.68021     0.00000
  26    -52.731       22.250         -17.456        0.335       341166.1          708.7    0.6577    0.0855      709.79       26.665      -85.480        6.549     1.67736     0.00000
  27    -52.791       21.956          -9.666       -0.031       341501.3          709.5    0.6425    0.0769      710.45       26.631      -85.456        2.861     1.67721     0.00000
  28    -51.832       23.657          -7.050       -0.276       341606.9          709.6    0.6375    0.0780      710.66       27.172      -85.375        2.046     1.67735     0.00000
  29    -50.278       25.426          -7.352       -0.378       341497.0          709.6    0.6382    0.0827      710.71       28.049      -85.249        1.919     1.67684     0.00000
  30    -50.155       25.929          -7.566       -0.440       341392.2          709.5    0.6386    0.0851      710.60       28.118      -85.255        2.566     1.67662     0.00000
  31    -50.157       26.304          -7.269       -2.010       341491.6          709.4    0.6380    0.0862      710.54       28.117      -85.272        0.569     1.67730     0.00000
  32    -45.124       29.115          -7.065       -4.030       341250.3          709.1    0.6384    0.0908      710.40       30.956      -84.814       -1.617     1.67673     0.00000
  33    -41.292       31.507          -6.974       -4.598       340885.5          708.8    0.6390    0.0944      710.16       33.118      -84.476       -2.133     1.67577     0.00000
  34    -38.092       33.546          -7.024       -4.877       340715.2          708.6    0.6396    0.0978      710.07       34.923      -84.201       -2.251     1.67540     0.00000
  35    -34.304       35.997          -7.111       -5.397       340386.6          708.3    0.6405    0.1022      709.95       37.060      -83.881       -2.312     1.67440     0.00000
  36    -29.834       38.778          -6.537       -5.986       340150.5          708.1    0.6402    0.1065      709.92       39.582      -83.495       -2.681     1.67365     0.00000
  37    -26.077       41.060          -5.460       -6.589       339820.3          708.0    0.6388    0.1097      709.84       41.701      -83.153       -3.554     1.67245     0.00000
  38    -22.603       43.067          -4.746       -7.072       339649.2          707.9    0.6381    0.1130      709.93       43.660      -82.840       -5.584     1.67168     0.00000
  39    -18.129       45.549          -4.321       -7.578       339192.5          707.8    0.6382    0.1173      709.99       46.184      -82.449       -7.834     1.66968     0.00000
  40    -13.156       48.284          -3.205       -8.238       338908.2          707.8    0.6371    0.1213      710.16       48.989      -82.002       -8.442     1.66825     0.00000
  41     -9.217       50.445          -1.646       -8.780       338478.8          707.8    0.6351    0.1242      710.21       51.212      -81.615       -8.744     1.66629     0.00000
  42     -5.419       52.531          -0.814       -9.299       338315.4          707.8    0.6344    0.1280      710.41       53.354      -81.267       -9.057     1.66537     0.00000
  43      0.622       55.873           0.788       -9.977       337684.6          707.6    0.6330    0.1334      710.48       56.762      -80.710       -9.340     1.66267     0.00000
  44      3.896       57.649           2.954      -10.543       337366.2          707.6    0.6298    0.1359      710.53       58.609      -80.348       -9.676     1.66120     0.00000
  45      8.243       60.002           4.264      -11.307       337052.5          707.5    0.6286    0.1404      710.69       61.061      -79.932      -10.086     1.65974     0.00000
  46     13.985       63.155           6.309      -12.066       336321.0          707.3    0.6267    0.1459      710.80       64.300      -79.371      -10.257     1.65651     0.00000
  47     18.067       65.390           8.822      -12.633       335844.1          707.3    0.6233    0.1497      710.99       66.602      -78.911      -10.339     1.65413     0.00000
  48     22.926       68.028          11.305      -13.427       335359.1          707.4    0.6204    0.1547      711.33       69.343      -78.386      -10.608     1.65153     0.00000
  49     27.721       70.605          14.410      -14.337       334635.8          707.4    0.6164    0.1597      711.59       72.048      -77.816      -10.930     1.64790     0.00000
  50     32.460       73.172          17.280      -15.131       334106.0          707.5    0.6128    0.1650      711.93       74.722      -77.254      -11.171     1.64512     0.00000
  51     37.824       76.102          20.661      -15.907       333176.8          707.2    0.6090    0.1712      712.00       77.748      -76.600      -11.327     1.64112     0.00000
  52     41.977       78.349          24.378      -16.601       332471.3          706.9    0.6041    0.1764      712.01       80.090      -76.003      -11.466     1.63824     0.00000
  53     46.772       80.941          28.120      -17.416       331610.8          706.5    0.5997    0.1827      711.94       82.795      -75.342      -11.656     1.63496     0.00000
  54     51.950       83.704          32.695      -18.456       330568.5          705.9    0.5942    0.1899      711.77       85.716      -74.566      -11.944     1.63115     0.00000
  55     57.032       86.421          37.696      -19.444       329433.1          705.2    0.5880    0.1976      711.55       88.583      -73.734      -12.189     1.62704     0.00000
  56     62.130       89.186          43.072      -20.258       328170.1          704.4    0.5814    0.2059      711.32       91.459      -72.842      -12.318     1.62243     0.00000
  57     67.117       91.850          49.244      -21.227       326679.6          703.6    0.5737    0.2151      711.06       94.272      -71.855      -12.534     1.61693     0.00000
  58     72.330       94.649          56.088      -22.174       325029.1          702.7    0.5651    0.2255      710.87       97.213      -70.735      -12.689     1.61067     0.00000
  59     77.125       97.227          63.679      -23.026       323035.1          701.6    0.5554    0.2367      710.62       99.918      -69.521      -12.827     1.60292     0.00000
  60     82.052       99.843          72.137      -24.041       320970.2          700.7    0.5445    0.2495      710.60      102.697      -68.131      -13.034     1.59461     0.00000
  61     86.686      102.337          81.453      -24.845       318252.9          699.5    0.5325    0.2636      710.45      105.311      -66.579      -13.142     1.58349     0.00000
  62     90.408      104.351          91.430      -25.451       315563.0          698.4    0.5193    0.2783      710.50      107.411      -64.920      -13.204     1.57225     0.00000
