
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1527
Total-Total PR            4.9704
Total-Static PR           5.6019
Energy Extraction           402.6880
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.39      78.08     -77.04     -77.26     -38.20    0.3297    0.8282      0.3583
    1      Mean      -3.88      72.47      44.21     -66.36     -16.31    0.6261    1.6465      0.4253
    1       Tip      -5.43      79.36     -83.12     -51.26      24.16    0.4688    0.3283      0.4669
    2       Hub     -53.89      73.33      -1.64     -69.73     -22.59    0.4447    1.3810      0.3991
    2      Mean     -20.04      64.32     -10.53     -59.85      -0.63    0.6939    1.1643      0.4588
    2       Tip      26.36      70.09     -50.76     -55.34      12.40    0.6493    0.8302      0.5255


Span station K = 37

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1     -0.137       52.569           0.000        0.359       342390.1          707.8    0.6292    0.1010      709.00       52.571      -80.761        0.391     1.68552     0.00000
   2     -9.538       47.613          -0.671        0.883       342493.9          708.0    0.6289    0.0915      709.04       47.621      -81.635        1.061     1.68542     0.00000
   3    -12.722       45.942          -1.391        0.541       342476.2          708.1    0.6299    0.0884      709.06       45.946      -81.943        0.674     1.68514     0.00000
   4    -15.853       44.292          -2.091        0.662       342496.4          708.2    0.6308    0.0854      709.08       44.297      -82.244        0.856     1.68504     0.00000
   5    -18.808       42.738          -2.860        0.502       342556.1          708.3    0.6319    0.0827      709.12       42.741      -82.530        0.672     1.68513     0.00000
   6    -21.620       41.259          -3.736        0.439       342564.3          708.4    0.6332    0.0803      709.13       41.261      -82.804        0.608     1.68504     0.00000
   7    -24.288       39.855          -4.708        0.341       342617.5          708.4    0.6347    0.0783      709.16       39.857      -83.065        0.489     1.68515     0.00000
   8    -26.963       38.448          -5.695        0.226       342619.0          708.5    0.6364    0.0764      709.17       38.448      -83.326        0.334     1.68507     0.00000
   9    -29.536       37.094          -6.649        0.129       342659.1          708.5    0.6379    0.0748      709.19       37.094      -83.575        0.195     1.68516     0.00000
  10    -32.152       35.717          -7.609        0.034       342651.8          708.5    0.6395    0.0733      709.20       35.717      -83.825        0.049     1.68508     0.00000
