NSTEPS = 5000

Density range:
0.16904597 1.8038849

=== MID-SPAN RESULTS ===
    J     Mach    Pstat(Pa)     Ptot(Pa)    Ttot(K)
    1   0.1027     342312.0     344740.6     709.00
    2   0.1048     342104.0     344636.5     708.93
    3   0.1003     342211.2     344527.9     708.90
    4   0.0944     342414.0     344472.8     708.91
    5   0.0888     343038.2     344881.5     709.12
    6   0.0875     343285.2     345090.1     709.23
    7   0.0914     343173.0     345137.2     709.25
    8   0.0988     342847.9     345136.8     709.24
    9   0.1068     342359.9     345040.2     709.17
   10   0.1136     341892.9     344941.0     709.10
   11   0.1183     341460.6     344780.9     709.01
   12   0.1213     341206.2     344707.3     708.98
   13   0.1227     340963.8     344556.7     708.90
   14   0.1236     340882.9     344539.1     708.90
   15   0.1241     340716.0     344411.0     708.84
   16   0.1250     340727.6     344484.9     708.89
   17   0.1257     340614.0     344428.3     708.87
   18   0.1269     340696.1     344600.1     708.96
   19   0.1279     340597.1     344587.1     708.96
   20   0.1293     340635.6     344751.3     709.06
   21   0.1304     340531.2     344764.0     709.09
   22   0.1319     340525.6     344920.5     709.19
   23   0.1324     340508.8     345018.1     709.28
   24   0.1311     340602.9     345106.1     709.58
   25   0.1332     340296.2     345118.1     708.79
   26   0.1180     340989.9     344849.5     706.79
   27   0.1044     340685.4     343975.1     704.97
   28   0.0914     340860.3     343710.8     704.28
   29   0.0851     340685.5     343361.8     704.20
   30   0.0844     340347.7     342978.7     704.25
   31   0.0883     340330.5     343012.0     704.15
   32   0.0924     340015.4     342771.1     704.27
   33   0.0964     339947.2     342794.9     705.30
   34   0.1005     339628.5     342579.4     706.38
   35   0.1038     339504.6     342552.6     707.05
   36   0.1065     339140.6     342281.9     707.21
   37   0.1099     338966.7     342233.8     707.32
   38   0.1139     338647.2     342077.9     707.30
   39   0.1179     338449.8     342058.2     707.32
   40   0.1211     338073.7     341852.7     707.24
   41   0.1246     337809.3     341782.6     707.25
   42   0.1283     337473.0     341667.3     707.21
   43   0.1310     337103.9     341510.1     707.12
   44   0.1336     336669.6     341296.6     707.01
   45   0.1369     336427.4     341348.1     707.03
   46   0.1397     335835.1     341064.9     706.85
   47   0.1429     335461.3     341039.6     706.78
   48   0.1471     334937.6     340928.7     706.64
   49   0.1522     334329.6     340766.5     706.47
   50   0.1580     333817.4     340787.2     706.40
   51   0.1643     333030.6     340607.7     706.20
   52   0.1708     332326.6     340575.8     706.08
   53   0.1782     331446.5     340523.6     705.93
   54   0.1860     330403.7     340412.2     705.75
   55   0.1943     329301.2     340383.7     705.64
   56   0.2036     327940.4     340309.1     705.51
   57   0.2141     326377.0     340280.5     705.43
   58   0.2260     324510.1     340225.7     705.40
   59   0.2391     322381.9     340184.3     705.41
   60   0.2534     319998.4     340209.5     705.53
   61   0.2682     317260.5     339982.3     705.68
   62   0.2832     314670.1     340021.6     705.97
   63   0.2976     311860.2     339579.3     706.13
   64   0.3098     309573.9     339175.1     706.28
   65   0.3201     307840.3     338900.1     706.55
   66   0.3287     306001.9     338069.1     706.68
   67   0.3367     304684.3     337730.0     707.00
   68   0.3456     303047.8     337283.7     707.28
   69   0.3568     300831.9     336779.3     707.56
   70   0.3707     297856.6     336081.8     707.77
   71   0.3885     294220.0     335461.0     708.05
   72   0.4122     289504.2     334586.6     708.27
   73   0.4450     283593.4     333513.2     708.42
   74   0.4873     276495.4     332362.5     708.56
   75   0.5359     268035.1     330931.5     708.65
   76   0.5878     258297.3     329195.5     708.75
   77   0.6409     247358.2     326941.2     708.77
   78   0.6935     235593.3     324085.3     708.62
   79   0.7449     223657.3     321148.5     708.61
   80   0.7965     211768.1     318568.7     709.01
   81   0.8478     199297.3     315105.8     709.08
   82   0.8929     186424.4     309111.7     707.78
   83   0.9230     175708.2     302314.8     706.21
   84   0.9396     169258.4     298514.0     706.61
   85   0.9529     165904.5     298180.7     708.33
   86   0.9674     162919.5     298593.9     709.48
   87   0.9808     158929.8     297376.3     709.34
   88   0.9917     154324.5     294740.4     708.33
   89   1.0003     149972.8     291716.2     707.18
   90   1.0073     146730.0     289285.2     706.61
   91   1.0131     144484.7     287521.1     706.55
   92   1.0212     142673.9     286636.3     706.97
   93   1.0354     140636.5     286708.7     707.85
   94   1.0564     137836.7     287277.8     709.38
   95   1.0895     134549.9     289458.7     711.53
   96   1.1244     130367.8     290312.1     710.86
   97   1.1393     128719.3     290695.6     708.40
   98   1.1170     129741.0     286731.8     705.46
   99   1.0863     132858.5     284602.7     704.91
  100   1.0746     135149.5     285552.3     705.08
  101   1.0670     134518.5     282313.1     703.66
  102   1.0624     134074.2     279419.7     703.91
  103   1.0628     133502.0     277272.9     705.04
  104   1.0705     132906.2     276681.3     706.57
  105   1.0906     132262.2     279792.8     708.57
  106   1.1165     131630.9     284874.1     710.72
  107   1.1395     131141.0     290601.1     712.38
  108   1.1403     130827.0     290018.6     711.32
  109   1.1305     130889.1     288051.2     709.28
  110   1.0798     131506.6     274813.2     703.06
  111   1.2166     132632.6     320337.1     707.63
  112   1.2058     132681.2     315999.0     706.36
  113   1.1516     136897.4     304858.8     700.97
  114   1.1550     136395.5     305090.1     701.55
  115   1.1606     135374.5     305065.1     701.90
  116   1.1701     134703.4     307323.9     703.20
  117   1.1816     133475.0     309220.1     704.25
  118   1.1941     132523.0     312253.6     705.77
  119   1.2084     131057.0     314912.4     707.02
  120   1.2240     129845.9     318725.2     708.63
  121   1.2425     127984.0     322206.8     709.97
  122   1.2626     126325.1     326870.9     711.70
  123   1.2839     123905.1     330125.8     712.80
  124   1.3059     121915.4     334897.5     714.09
  125   1.3313     119170.9     339143.1     715.52
  126   1.3600     117046.5     346970.7     718.47
  127   1.3908     113947.4     352674.3     720.71
  128   1.4223     111550.2     361146.4     723.82
  129   1.4535     107959.7     363897.9     726.39
  130   1.4853     105606.7     372180.5     727.74
  131   1.5262     102433.9     383212.3     731.09
  132   1.5079      99596.4     352189.9     722.05
  133   1.4195     108097.6     339764.8     718.03
  134   1.3973     109849.7     329789.2     711.94
  135   1.3569     112372.3     323104.5     710.02
  136   1.3209     114796.4     316140.2     705.90
  137   1.2871     116813.5     309435.8     702.50
  138   1.2624     118481.7     304204.2     699.29
  139   1.2557     119020.4     301759.3     697.81
  140   1.2588     118962.0     298546.3     696.48
  141   1.2378     119687.3     289334.6     693.39
  142   1.1854     123466.5     282742.8     690.27
  143   1.1187     127308.5     273149.9     684.81
  144   1.0610     130471.8     264458.3     679.26
  145   1.0201     132122.7     257171.7     674.49
  146   0.9890     133469.0     251607.6     670.78
  147   0.9648     134802.7     247666.6     668.74
  148   0.9484     136110.2     245156.4     667.59
  149   0.9328     136852.3     242119.2     665.92
  150   0.9157     137694.6     239168.6     664.30
  151   0.9007     138226.0     236267.1     662.76
  152   0.8869     138768.7     233591.1     661.25
  153   0.8699     138829.5     229686.1     658.92
  154   0.8529     138966.6     226157.7     656.69
  155   0.8408     139018.9     223446.7     655.02
  156   0.8288     139157.5     220677.9     653.75
  157   0.8144     139168.5     217439.0     652.44
  158   0.7973     139374.8     214220.4     651.36
  159   0.7808     139276.3     210720.1     650.05
  160   0.7685     139158.5     207681.3     648.79
  161   0.7573     139068.0     204822.4     647.69
  162   0.7451     139069.6     202112.3     646.46
  163   0.7344     138600.8     199008.9     644.51
  164   0.7289     138025.8     196383.5     642.90
  165   0.7292     137409.4     194535.9     642.01
  166   0.7312     136689.8     192928.8     641.03
  167   0.7280     135792.3     190520.5     639.06
  168   0.7135     135054.3     187055.8     635.80
  169   0.6925     134766.3     183548.4     632.29
  170   0.6727     134911.0     180793.3     629.51
  171   0.6523     135168.8     178230.0     626.71
  172   0.6306     135478.5     175739.6     624.25
  173   0.6075     135721.1     173118.8     622.09
  174   0.5834     135830.0     170349.0     619.28
  175   0.5642     135512.0     167651.6     616.19
  176   0.5482     134761.7     164821.3     613.04
  177   0.5300     134135.8     162051.6     610.00
  178   0.5143     133632.2     159675.0     607.45
  179   0.4983     133004.8     157147.8     604.79
  180   0.4798     132189.4     154261.0     602.51
  181   0.4632     131152.1     151428.0     600.41
  182   0.4489     130198.3     148976.8     598.36
  183   0.4368     129159.2     146684.2     596.80
  184   0.4277     127927.7     144465.1     595.30
  185   0.4236     126601.0     142563.2     593.93
  186   0.4226     125097.6     140759.3     592.59
  187   0.4224     123614.5     139115.7     591.05
  188   0.4231     122051.1     137515.9     589.54
  189   0.4223     120355.9     135684.4     587.88
  190   0.4219     118732.6     133973.1     586.38
  191   0.4225     117203.9     132454.1     585.18
  192   0.4211     115940.2     131039.4     584.18
  193   0.4204     114865.2     129840.7     583.65
  194   0.4212     113814.3     128733.1     583.16
  195   0.4218     112956.4     127763.2     582.67
  196   0.4213     112263.9     126882.1     582.17
  197   0.4216     111875.1     126385.6     582.02
  198   0.4203     111295.3     125571.4     581.56
  199   0.4199     111057.2     125217.1     581.79
  200   0.4189     110545.6     124546.1     581.67
  201   0.4175     110830.6     124766.3     582.41
  202   0.4153     110568.1     124349.7     582.17
  203   0.4134     111584.5     125384.4     583.79
  204   0.4200     112601.9     126952.7     586.37
  205   0.4167     113633.4     127877.9     586.36
  206   0.4243     114267.1     129100.6     584.35
  207   0.4451     112440.6     128461.6     580.12
  208   0.4602     112337.9     129471.3     579.07
  209   0.4690     112396.0     130259.8     579.34
  210   0.4628     112387.7     129698.2     579.11
  211   0.4431     112479.5     128208.4     579.89
  212   0.4144     112610.6     126273.8     581.03
  213   0.3817     112267.2     123789.2     578.19
  214   0.3577     112777.1     122992.0     575.25
  215   0.3415     113512.0     122819.7     575.04
  216   0.3409     114562.4     123837.2     575.52
  217   0.2865     116805.0     123327.9     584.38
  218   0.2905     116170.2     122841.8     585.51
  219   0.2613     117459.4     122962.6     585.73
  220   0.2738     116639.4     122615.2     585.87
  221   0.2842     116608.7     123048.1     586.75
  222   0.2981     115855.4     122916.6     586.85
  223   0.3082     115427.7     122978.4     587.15
  224   0.3160     115072.2     123024.0     587.42
  225   0.3201     114865.2     123041.0     587.64
  226   0.3227     114783.2     123110.5     587.98
  227   0.3229     114751.9     123108.1     588.29
  228   0.3223     114785.2     123137.4     588.66
  229   0.3218     114750.9     123099.8     589.00
  230   0.3217     114829.3     123211.9     589.42
  231   0.3210     114785.7     123165.3     589.54
  232   0.3218     114826.3     123306.7     589.83
  233   0.3239     114742.9     123385.0     590.27
  234   0.3294     114679.6     123695.1     591.29
  235   0.3321     114587.6     123830.0     592.21
  236   0.3288     114689.9     123811.0     592.82
  237   0.3370     114481.5     124257.2     592.85
  238   0.3107     114676.0     122952.4     593.05
  239   0.2702     115442.8     122109.7     592.12
  240   0.2358     115837.6     121440.1     589.15
  241   0.2257     115802.3     120986.5     586.57
  242   0.2150     115722.7     120565.5     585.53
  243   0.2026     115774.7     120301.9     585.49
  244   0.1920     115729.8     120009.5     585.33
  245   0.1864     115744.2     119863.0     585.19
  246   0.1859     115692.7     119727.8     585.07
  247   0.1871     115677.5     119700.2     585.10
  248   0.1880     115607.1     119629.9     585.07
  249   0.1873     115549.4     119551.7     584.97
  250   0.1868     115438.0     119422.1     584.80
  251   0.1856     115333.3     119303.1     584.63
  252   0.1867     115191.9     119182.0     584.41
  253   0.1891     115020.3     119043.8     584.16
  254   0.1901     114837.3     118882.0     583.98
  255   0.1918     114614.8     118711.1     583.81
  256   0.1942     114366.7     118531.3     583.66
  257   0.2005     114111.6     118421.5     583.51
  258   0.2085     113770.6     118302.0     583.20
  259   0.2146     113428.3     118161.4     582.90
  260   0.2194     113070.5     117988.7     582.60
  261   0.2240     112652.9     117755.3     582.15
  262   0.2328     112316.9     117745.6     581.88
  263   0.2462     111583.3     117518.3     581.38
  264   0.2573     110931.2     117312.5     580.94
  265   0.2680     110402.2     117273.5     580.75
  266   0.2802     109600.1     117028.2     580.31
  267   0.2929     108909.8     116950.2     580.09
  268   0.3082     107936.7     116759.1     579.73
  269   0.3251     106991.9     116726.4     579.61
  270   0.3408     105896.7     116511.1     579.26
  271   0.3566     104943.7     116557.7     579.25
  272   0.3753     103528.4     116413.5     579.21
  273   0.3940     102039.4     116181.0     579.16
  274   0.4110     100854.2     116129.3     579.33
