Span station K = 19

J          %dVm         Vx(m/s)     Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)   Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density
--------------------------------------------------------------------------------------------------------------------------------------------
   1      3.230       58.234           0.000        0.193       341849.4          707.5    0.5850    0.1119      709.00       58.234      -78.970        0.190     1.68351
   2      1.751       57.400          -0.546        0.198       341868.2          707.5    0.5857    0.1104      708.97       57.400      -79.143        0.192     1.68358
   3      1.402       57.202          -1.154        0.221       341851.3          707.5    0.5868    0.1101      708.96       57.203      -79.199        0.211     1.68352
   4      0.853       56.893          -1.752        0.247       341882.4          707.5    0.5878    0.1096      708.96       56.894      -79.276        0.232     1.68364
   5      0.128       56.483          -2.450        0.271       341901.8          707.5    0.5890    0.1090      708.96       56.484      -79.374        0.251     1.68372
   6     -0.745       55.990          -3.315        0.295       341925.5          707.5    0.5906    0.1084      708.96       55.992      -79.492        0.269     1.68381
   7     -1.633       55.489          -4.331        0.317       341928.3          707.5    0.5924    0.1079      708.96       55.491      -79.615        0.285     1.68382
   8     -2.578       54.956          -5.413        0.337       341931.8          707.6    0.5943    0.1075      708.96       54.958      -79.745        0.298     1.68383
   9     -3.515       54.427          -6.489        0.358       341924.3          707.5    0.5963    0.1073      708.95       54.429      -79.872        0.310     1.68382
  10     -4.613       53.806          -7.557        0.380       341915.8          707.5    0.5982    0.1070      708.96       53.810      -80.015        0.325     1.68379
  11     -5.752       53.163          -8.685        0.404       341912.5          707.5    0.6003    0.1069      708.97       53.167      -80.161        0.341     1.68378
  12     -7.020       52.447          -9.931        0.430       341863.8          707.5    0.6026    0.1069      708.96       52.452      -80.322        0.363     1.68360
  13     -8.190       51.787         -11.276        0.455       341828.3          707.5    0.6051    0.1073      708.97       51.792      -80.474        0.382     1.68347
  14     -9.446       51.077         -12.642        0.477       341750.9          707.4    0.6077    0.1079      708.96       51.083      -80.632        0.400     1.68319
  15    -10.609       50.421         -13.940        0.498       341693.3          707.4    0.6102    0.1087      708.98       50.427      -80.778        0.414     1.68297
  16    -11.876       49.706         -15.216        0.517       341585.4          707.4    0.6126    0.1097      708.97       49.713      -80.932        0.430     1.68257
  17    -13.029       49.054         -16.521        0.534       341499.8          707.3    0.6152    0.1110      708.98       49.062      -81.073        0.439     1.68226
  18    -14.259       48.360         -17.956        0.551       341364.0          707.2    0.6180    0.1126      708.97       48.368      -81.222        0.452     1.68176
  19    -15.389       47.722         -19.392        0.565       341252.4          707.2    0.6208    0.1146      708.98       47.731      -81.358        0.457     1.68135
  20    -16.584       47.047         -20.801        0.579       341096.9          707.1    0.6236    0.1167      708.98       47.057      -81.499        0.473     1.68078
  21    -17.638       46.451         -22.021        0.590       340959.5          707.0    0.6261    0.1188      708.99       46.462      -81.621        0.475     1.68027
  22    -18.748       45.825         -23.258        0.596       340779.1          706.9    0.6286    0.1211      708.99       45.836      -81.748        0.474     1.67958
  23    -19.666       45.306         -24.444        0.599       340618.7          706.8    0.6310    0.1235      708.97       45.318      -81.852        0.429     1.67904
  24    -20.648       44.751         -25.574        0.604       340403.0          706.8    0.6334    0.1260      708.98       44.764      -81.962        0.341     1.67816
  25    -21.530       44.070         -28.018        0.558       340225.9          706.6    0.6383    0.1310      709.01       44.267      -82.065       -0.784     1.67768
  26    -20.336       43.549         -21.188        0.504       339913.2          706.8    0.6252    0.1191      708.93       44.940      -81.932       -1.459     1.67564
  27    -19.354       44.588         -12.590        0.529       340207.3          707.0    0.6089    0.1108      709.05       45.494      -81.754       -1.689     1.67659
  28    -14.709       47.916         -11.507        0.579       340306.1          707.0    0.6075    0.1128      709.15       48.115      -81.316       -0.324     1.67714
  29     -9.447       51.058         -12.797        0.619       339900.9          706.7    0.6108    0.1206      709.10       51.083      -80.819       -0.148     1.67570
  30     -4.326       53.949         -12.962        0.648       339661.1          706.6    0.6120    0.1271      709.12       53.972      -80.334       -0.258     1.67489
  31     -0.770       55.954         -12.620        0.675       339324.1          706.4    0.6121    0.1316      709.06       55.978      -79.997       -0.206     1.67371
  32      2.693       57.906         -12.709        0.704       339117.9          706.3    0.6130    0.1360      709.10       57.931      -79.678       -0.197     1.67298
  33      6.674       60.151         -12.758        0.734       338608.2          706.0    0.6142    0.1407      709.02       60.177      -79.326       -0.225     1.67113
  34     11.214       62.711         -13.004        0.768       338272.3          705.8    0.6158    0.1464      709.08       62.738      -78.929       -0.250     1.66989
  35     18.066       66.577         -12.644        0.795       337657.1          705.5    0.6168    0.1528      709.06       66.604      -78.334       -0.347     1.66760
  36     22.863       69.282         -11.219        0.799       337283.8          705.3    0.6155    0.1565      709.04       69.309      -77.882       -0.397     1.66619
  37     26.295       71.218         -10.023        0.804       337024.4          705.1    0.6143    0.1597      709.05       71.246      -77.549       -0.421     1.66525
  38     30.687       73.695          -9.465        0.819       336560.8          704.9    0.6147    0.1647      709.06       73.723      -77.156       -0.450     1.66353
  39     36.924       77.213          -8.440        0.826       335928.2          704.5    0.6150    0.1707      709.08       77.242      -76.607       -0.506     1.66114
  40     42.375       80.288          -6.428        0.812       335397.1          704.3    0.6132    0.1750      709.05       80.317      -76.079       -0.556     1.65911
  41     45.945       82.302          -4.511        0.795       335080.5          704.1    0.6111    0.1780      709.04       82.331      -75.695       -0.589     1.65795
  42     50.982       85.143          -3.370        0.789       334545.6          703.8    0.6111    0.1836      709.08       85.172      -75.227       -0.623     1.65599
  43     57.773       88.974          -0.868        0.754       333711.9          703.4    0.6094    0.1898      709.08       89.003      -74.571       -0.685     1.65272
  44     61.439       91.042           2.165        0.693       333267.8          703.2    0.6056    0.1927      708.99       91.071      -74.102       -0.733     1.65107
  45     66.208       93.732           3.824        0.668       332968.9          702.9    0.6049    0.1981      709.07       93.762      -73.623       -0.779     1.65020
  46     72.924       97.521           6.693        0.615       331790.2          702.3    0.6033    0.2050      708.97       97.550      -72.932       -0.842     1.64562
  47     77.600      100.159          10.346        0.526       331258.5          702.0    0.5993    0.2096      708.99      100.188      -72.322       -0.896     1.64358
  48     83.263      103.354          13.772        0.443       330584.9          701.7    0.5964    0.2158      709.07      103.383      -71.644       -0.961     1.64100
  49     87.895      105.966          17.944        0.331       329709.2          701.3    0.5918    0.2211      709.08      105.996      -70.970       -1.026     1.63734
  50     92.596      108.618          21.770        0.225       329177.5          701.2    0.5878    0.2269      709.31      108.648      -70.297       -1.088     1.63504
  51     98.091      111.717          26.265        0.097       328044.6          700.7    0.5837    0.2339      709.28      111.747      -69.503       -1.166     1.63053
