STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3      Phi       Psi    Reaction
    1       Hub      -2.39      78.51     -73.66     -76.36    0.3064    0.8248      0.7119
    1      Mean      -3.87      72.46      47.70     -63.21    0.6828    1.4970      0.4243
    1       Tip      -5.42      79.58    -117.70     -50.61    0.4765    0.4562      0.4895
    2       Hub     -57.60      73.64       4.31     -68.45    0.4580    1.2868      0.5782
    2      Mean     -17.66      65.16      -4.64     -59.66    0.6882    1.1295      0.4912
    2       Tip      21.97      70.21     -46.41     -52.99    0.6131    0.7016      0.5770


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      3.410       54.657           0.000        0.182       342190.3          707.7    0.5836    0.1050      709.00       54.657      -79.632        0.191     1.68476
   2      1.300       53.541          -0.553        0.175       342192.9          707.8    0.5843    0.1029      709.01       53.542      -79.857        0.181     1.68464
   3      0.955       53.359          -1.162        0.192       342182.3          707.8    0.5854    0.1027      709.00       53.359      -79.910        0.195     1.68459
   4      0.471       53.103          -1.767        0.211       342215.9          707.8    0.5864    0.1023      709.02       53.103      -79.976        0.210     1.68471
   5     -0.190       52.753          -2.461        0.230       342230.9          707.8    0.5877    0.1019      709.02       52.754      -80.061        0.225     1.68476
   6     -0.970       52.340          -3.303        0.250       342255.5          707.8    0.5892    0.1014      709.04       52.342      -80.162        0.241     1.68483
   7     -1.876       51.861          -4.285        0.269       342242.5          707.8    0.5909    0.1009      709.04       51.863      -80.279        0.254     1.68475
   8     -2.799       51.373          -5.317        0.287       342257.2          707.8    0.5928    0.1006      709.05       51.375      -80.397        0.265     1.68479
   9     -3.808       50.839          -6.327        0.304       342223.2          707.8    0.5947    0.1003      709.05       50.842      -80.522        0.274     1.68465
  10     -4.771       50.330          -7.324        0.322       342241.8          707.8    0.5965    0.1002      709.08       50.333      -80.641        0.285     1.68468
  11     -5.830       49.769          -8.386        0.342       342211.4          707.8    0.5984    0.1002      709.09       49.773      -80.770        0.297     1.68454
  12     -6.847       49.231          -9.588        0.362       342204.8          707.8    0.6007    0.1005      709.11       49.235      -80.896        0.311     1.68451
  13     -8.012       48.615         -10.879        0.380       342135.8          707.8    0.6031    0.1009      709.12       48.620      -81.037        0.320     1.68422
  14     -9.192       47.991         -12.160        0.394       342104.9          707.8    0.6056    0.1016      709.14       47.996      -81.177        0.325     1.68410
  15    -10.494       47.302         -13.345        0.405       342003.5          707.8    0.6078    0.1022      709.13       47.308      -81.326        0.324     1.68369
  16    -11.630       46.701         -14.523        0.416       341952.8          707.7    0.6101    0.1031      709.15       46.707      -81.457        0.322     1.68351
  17    -12.801       46.081         -15.753        0.427       341835.2          707.7    0.6125    0.1043      709.13       46.088      -81.590        0.320     1.68308
  18    -13.902       45.499         -17.118        0.442       341774.9          707.6    0.6151    0.1060      709.17       45.507      -81.717        0.327     1.68284
  19    -15.263       44.779         -18.419        0.454       341634.3          707.6    0.6177    0.1076      709.17       44.787      -81.865        0.331     1.68229
  20    -16.601       44.071         -19.627        0.465       341545.5          707.4    0.6201    0.1094      709.06       44.080      -82.007        0.342     1.68227
  21    -18.034       43.313         -20.652        0.474       341365.0          707.1    0.6223    0.1110      708.84       43.323      -82.154        0.365     1.68206
  22    -19.245       42.673         -21.921        0.486       341247.2          707.7    0.6246    0.1133      709.50       42.683      -82.282        0.427     1.68011
  23    -20.501       42.006         -23.652        0.520       341037.3          708.5    0.6276    0.1168      710.46       42.019      -82.412        1.084     1.67709
  24    -20.903       41.367         -24.496        0.532       340877.1          705.1    0.6310    0.1191      707.08       41.806      -82.463        2.200     1.68462
  25    -19.187       40.401         -22.280        0.424       340594.8          695.9    0.6315    0.1159      697.88       42.713      -82.316       -0.127     1.70691
  26    -18.157       39.418         -11.877        0.483       340459.1          683.9    0.6167    0.1009      685.68       43.258      -82.155        0.117     1.73909
  27    -16.996       42.875          -3.452        0.573       340633.7          677.0    0.6030    0.1075      678.77       43.871      -81.948        1.225     1.76091
  28    -11.257       46.563          -2.882        0.581       340561.1          676.7    0.6025    0.1161      678.69       46.905      -81.364        1.341     1.76491
  29     -6.026       49.631          -5.032        0.597       340422.8          677.3    0.6073    0.1230      679.46       49.669      -80.868        1.132     1.76558
  30     -0.358       52.646          -6.275        0.621       340114.5          677.6    0.6105    0.1296      680.00       52.665      -80.334        0.245     1.76482
  31      3.570       54.721          -6.798        0.647       339882.2          677.7    0.6124    0.1335      680.22       54.741      -79.971        0.201     1.76447
  32      7.544       56.821          -7.417        0.677       339677.3          677.5    0.6147    0.1377      680.10       56.842      -79.621        0.169     1.76524
  33     11.703       59.019          -7.694        0.710       339323.1          676.7    0.6165    0.1424      679.55       59.040      -79.271        0.131     1.76677
  34     16.606       61.609          -7.894        0.749       339005.1          676.0    0.6183    0.1485      679.00       61.632      -78.847        0.107     1.76891
  35     23.616       65.315          -7.442        0.780       338494.2          674.9    0.6194    0.1553      678.25       65.337      -78.250        0.007     1.77112
  36     28.700       68.003          -5.992        0.791       338122.4          673.9    0.6183    0.1596      677.39       68.024      -77.779       -0.032     1.77407
  37     32.346       69.930          -4.797        0.807       337914.0          673.2    0.6173    0.1632      676.90       69.951      -77.432       -0.042     1.77634
  38     37.028       72.403          -4.228        0.833       337488.2          672.8    0.6178    0.1684      676.68       72.425      -77.020       -0.052     1.77660
  39     43.471       75.809          -3.180        0.849       336974.2          672.0    0.6180    0.1746      676.21       75.831      -76.464       -0.101     1.77753
