Span station K = 1

J    %dVm      Vx(m/s)     Vtheta(m/s)   Vr(m/s)      Pstat(Pa)    Mrel      T0(K)      Vm(m/s)     Swirl(deg)  Pitch(deg)  Density
--------------------------------------------------------------------------------------------------------------------------------------------
   1    -10.549       87.691           0.000        0.010       338255.7    0.5695      709.00       87.691      -72.762        0.007     1.67023
   2    -18.101       80.287          -1.603        0.227       337233.9    0.5682      708.78       80.287      -74.225        0.164     1.66444
   3    -21.843       76.618          -3.020       -0.157       337712.8    0.5688      708.98       76.618      -74.983       -0.117     1.66576
   4    -24.497       74.017          -4.377        0.164       337626.1    0.5701      708.94       74.017      -75.536        0.128     1.66507
   5    -27.249       71.319          -5.816       -0.091       337629.0    0.5715      708.91       71.319      -76.106       -0.073     1.66480
   6    -29.612       69.003          -7.379        0.054       337819.8    0.5734      708.98       69.003      -76.606        0.046     1.66533
   7    -31.822       66.836          -9.053       -0.021       337747.1    0.5757      708.91       66.836      -77.078       -0.019     1.66493
   8    -33.959       64.741         -10.772        0.012       337898.2    0.5781      708.96       64.741      -77.532        0.011     1.66541
   9    -35.984       62.756         -12.488        0.009       337852.2    0.5807      708.91       62.756      -77.961        0.009     1.66519
  10    -38.107       60.674         -14.199       -0.015       337925.1    0.5833      708.93       60.674      -78.401       -0.014     1.66543
  11    -40.272       58.552         -15.962        0.020       337924.5    0.5861      708.92       58.552      -78.843        0.021     1.66542
  12    -42.633       56.238         -17.799        0.007       337951.4    0.5890      708.94       56.238      -79.314        0.012     1.66552
  13    -45.180       53.740         -19.657        0.031       337933.3    0.5921      708.94       53.740      -79.813        0.046     1.66545
  14    -47.877       51.097         -21.445        0.030       337897.5    0.5951      708.95       51.097      -80.327        0.051     1.66534
  15    -50.739       48.292         -23.170        0.037       337820.9    0.5980      708.96       48.292      -80.863        0.076     1.66507
  16    -53.915       45.177         -24.916        0.079       337726.2    0.6011      708.97       45.178      -81.438        0.251     1.66473
  17    -57.673       41.298         -26.593        0.165       337586.7    0.6042      708.99       41.494      -82.103        2.955     1.66422
  18    -58.407       36.504         -27.917        0.262       337397.8    0.6068      708.98       40.774      -82.220        4.323     1.66359
  19    -56.049       31.577         -28.858        0.246       337164.5    0.6090      708.96       43.086      -81.810        2.038     1.66288
  20    -53.817       27.801         -29.911        0.062       336911.6    0.6115      708.96       45.274      -81.430        1.254     1.66209
  21    -52.989       26.040         -30.973       -0.193       336709.9    0.6138      709.00       46.086      -81.288       -0.381     1.66140
  22    -53.816       26.443         -31.797       -0.496       336551.2    0.6154      709.03       45.274      -81.428       -1.819     1.66079
  23    -56.202       28.765         -31.954       -0.758       336481.2    0.6155      709.09       42.936      -81.819       -4.268     1.66042
  24    -58.209       31.981         -32.471       -0.810       336343.9    0.6164      709.15       40.968      -82.176       -6.726     1.65978
  25    -57.817       35.067         -33.656       -0.891       336195.1    0.6188      709.21       41.353      -82.159       -5.653     1.65933
  26    -57.159       37.581         -25.192       -0.659       335912.7    0.6025      709.16       41.998      -82.056       -4.497     1.65700
  27    -56.957       39.463         -16.342       -0.471       336252.9    0.5859      709.34       42.196      -81.985       -4.081     1.65805
  28    -54.351       44.066         -14.342       -0.473       335964.8    0.5829      709.32       44.750      -81.590       -6.039     1.65729
  29    -50.228       48.744         -13.995       -0.468       335037.7    0.5834      709.10       48.792      -80.903       -4.146     1.65395
  30    -47.175       51.764         -13.233       -0.410       334650.0    0.5827      709.12       51.785      -80.356       -1.762     1.65245
  31    -43.938       54.947         -13.106       -0.385       334055.6    0.5835      709.11       54.959      -79.797       -1.083     1.65017
  32    -40.486       58.335         -13.547       -0.336       333341.6    0.5856      709.07       58.343      -79.234       -0.764     1.64741
  33    -36.915       61.838         -14.231       -0.311       332488.0    0.5884      709.08       61.844      -78.689       -0.574     1.64399
  34    -32.328       66.336         -14.885       -0.307       331633.7    0.5916      709.10       66.340      -78.012       -0.496     1.64072
  35    -27.698       70.875         -13.626       -0.206       330674.5    0.5915      709.03       70.879      -77.296       -0.384     1.63684
  36    -25.152       73.370         -11.630       -0.284       330234.2    0.5890      709.03       73.375      -76.834       -0.433     1.63495
  37    -22.397       76.073         -10.855       -0.070       329685.1    0.5891      709.09       76.075      -76.391       -0.217     1.63271
  38    -17.763       80.617         -10.502        0.033       328575.6    0.5913      709.14       80.619      -75.696       -0.121     1.62823
  39    -12.978       85.307          -8.649       -0.208       327454.1    0.5910      709.06       85.310      -74.964       -0.275     1.62381
  40    -10.271       87.961          -5.741       -0.121       326908.3    0.5875      709.06       87.963      -74.439       -0.193     1.62137
