
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7099
Total-Total PR            5.0265
Total-Static PR           5.5864
Energy Extraction           342.3371
Corrected Speed           32.5765
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.94     -76.15     -40.86    0.3337    1.8782      0.3418
    1      Mean      -3.64      72.54      51.08     -64.31     -17.72    0.6973    1.5795      0.4162
    1       Tip      -5.12      80.10       2.55     -49.32      16.49    0.4884    0.9920      0.4572
    2       Hub     -61.59      73.68       1.83     -67.81     -14.27    0.4511    1.5417      0.3747
    2      Mean     -27.45      64.62      -6.70     -59.55       3.50    0.7021    1.1862      0.4233
    2       Tip      17.03      70.70     -48.29     -54.35      17.69    0.6753    0.8694      0.4861


Span station K = 1

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      5.836       59.858           0.000       -0.032       341705.1          707.4    0.5396    0.1151      709.00       59.858      -77.689       -0.030     1.68299     0.00000
   2     -9.767       51.011           0.061       -1.503       342460.6          708.0    0.5359    0.0981      709.11       51.034      -79.456       -1.686     1.68544     0.00000
   3    -13.334       49.015          -0.254       -0.351       342218.1          707.9    0.5357    0.0942      708.98       49.016      -79.874       -0.410     1.68436     0.00000
   4    -17.487       46.661          -0.572       -0.792       342327.0          708.0    0.5355    0.0898      708.98       46.667      -80.360       -0.972     1.68465     0.00000
   5    -20.968       44.697          -0.979       -0.271       342445.1          708.1    0.5356    0.0861      709.00       44.698      -80.771       -0.347     1.68502     0.00000
   6    -24.315       42.805          -1.517       -0.245       342435.9          708.1    0.5361    0.0827      708.96       42.806      -81.171       -0.328     1.68492     0.00000
   7    -27.415       41.052          -2.172       -0.026       342575.5          708.2    0.5368    0.0796      708.99       41.052      -81.546       -0.036     1.68541     0.00000
   8    -30.215       39.468          -2.886        0.146       342579.3          708.2    0.5378    0.0770      708.96       39.468      -81.886        0.213     1.68539     0.00000
   9    -33.068       37.854          -3.613        0.263       342652.0          708.3    0.5387    0.0745      708.97       37.855      -82.231        0.398     1.68563     0.00000
  10    -35.744       36.339          -4.355        0.432       342692.6          708.3    0.5398    0.0723      708.97       36.341      -82.554        0.684     1.68576     0.00000
  11    -38.607       34.718          -5.159        0.513       342733.6          708.3    0.5411    0.0701      708.97       34.722      -82.898        0.848     1.68589     0.00000
  12    -41.438       33.115          -6.060        0.618       342783.3          708.4    0.5425    0.0683      708.98       33.121      -83.237        1.077     1.68608     0.00000
  13    -44.421       31.426          -7.040        0.692       342788.0          708.4    0.5441    0.0666      708.97       31.434      -83.593        1.277     1.68609     0.00000
