
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3962
Pitchline loading         3.1518
Total-Total PR            4.9700
Total-Static PR           5.6018
Energy Extraction           402.9360
Corrected Speed           32.5748
Flow function           0.9511

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.40      78.08     -77.04     -77.27     -38.18    0.3297    0.8278      0.3582
    1      Mean      -3.88      72.47      44.21     -66.37     -16.29    0.6261    1.6469      0.4251
    1       Tip      -5.37      79.36     -83.19     -51.18      24.51    0.4686    0.3194      0.4672
    2       Hub     -53.87      73.33      -1.63     -69.74     -22.60    0.4450    1.3817      0.3989
    2      Mean     -20.02      64.32     -10.53     -59.84      -0.63    0.6937    1.1643      0.4587
    2       Tip      26.59      70.12     -50.75     -55.43      12.31    0.6834    0.8364      0.5251


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      2.975       54.351           0.000        0.002       342218.5          707.7    0.5835    0.1045      709.00       54.351      -79.689        0.002     1.68487             11.511
   2      0.841       53.225          -0.551        0.010       342218.9          707.8    0.5841    0.1023      709.02       53.225      -79.915        0.004     1.68472             11.264
   3      0.513       53.052          -1.159        0.034       342207.8          707.8    0.5852    0.1021      709.01       53.052      -79.966        0.026     1.68467             11.271
   4      0.044       52.804          -1.761        0.061       342240.1          707.8    0.5863    0.1017      709.02       52.805      -80.031        0.048     1.68479             11.276
   5     -0.603       52.463          -2.452        0.086       342254.7          707.8    0.5875    0.1013      709.03       52.463      -80.115        0.069     1.68483             11.278
   6     -1.368       52.058          -3.292        0.111       342278.2          707.8    0.5890    0.1008      709.04       52.059      -80.214        0.088     1.68491             11.279
   7     -2.261       51.587          -4.270        0.134       342265.0          707.8    0.5908    0.1004      709.04       51.588      -80.329        0.103     1.68483             11.278
   8     -3.171       51.106          -5.299        0.155       342279.0          707.8    0.5927    0.1001      709.06       51.107      -80.445        0.116     1.68487             11.282
   9     -4.172       50.577          -6.306        0.175       342244.8          707.8    0.5945    0.0998      709.05       50.579      -80.569        0.126     1.68472             11.280
  10     -5.125       50.074          -7.299        0.196       342263.7          707.8    0.5963    0.0997      709.08       50.077      -80.687        0.137     1.68476             11.287
  11     -6.174       49.520          -8.357        0.218       342233.8          707.8    0.5983    0.0997      709.09       49.523      -80.815        0.149     1.68462             11.285
  12     -7.181       48.988          -9.554        0.240       342227.1          707.8    0.6005    0.1000      709.12       48.991      -80.940        0.161     1.68458             11.290
  13     -8.340       48.375         -10.840        0.259       342158.1          707.8    0.6030    0.1004      709.12       48.379      -81.080        0.167     1.68429             11.288
  14     -9.515       47.755         -12.115        0.274       342127.9          707.8    0.6054    0.1011      709.14       47.759      -81.219        0.169     1.68417             11.292
  15    -10.815       47.068         -13.293        0.286       342026.5          707.8    0.6076    0.1017      709.13       47.073      -81.367        0.162     1.68377             11.289
  16    -11.942       46.472         -14.466        0.299       341976.9          707.7    0.6099    0.1026      709.15       46.478      -81.496        0.156     1.68360             11.294
  17    -13.105       45.858         -15.693        0.311       341859.4          707.7    0.6123    0.1039      709.14       45.865      -81.629        0.147     1.68316             11.292
  18    -14.194       45.282         -17.054        0.326       341800.6          707.7    0.6149    0.1055      709.17       45.289      -81.755        0.146     1.68293             11.299
  19    -15.554       44.564         -18.347        0.340       341660.2          707.6    0.6175    0.1071      709.17       44.572      -81.902        0.139     1.68239             11.297
  20    -16.890       43.858         -19.546        0.353       341573.2          707.4    0.6199    0.1089      709.05       43.867      -82.044        0.138     1.68239             11.303
  21    -18.322       43.102         -20.566        0.363       341393.1          707.1    0.6221    0.1105      708.83       43.111      -82.190        0.136     1.68219             11.298
  22    -19.524       42.467         -21.839        0.375       341277.1          707.7    0.6243    0.1128      709.49       42.476      -82.317        0.156     1.68023             11.306
  23    -20.778       41.803         -23.556        0.412       341069.0          708.6    0.6273    0.1162      710.50       41.815      -82.446        0.556     1.67712             11.306
  24    -21.229       41.161         -24.373        0.430       340912.1          705.1    0.6307    0.1185      707.09       41.577      -82.502        1.778     1.68470             11.336
  25    -19.448       40.192         -22.177        0.321       340631.1          695.7    0.6313    0.1154      697.66       42.516      -82.349       -0.467     1.70766             11.378
  26    -18.427       39.215         -11.752        0.381       340493.1          683.4    0.6166    0.1005      685.16       43.055      -82.189       -0.203     1.74081             11.416
  27    -17.222       42.690          -3.321        0.475       340672.6          676.5    0.6028    0.1072      678.31       43.691      -81.977        1.001     1.76262             11.360
  28    -11.504       46.371          -2.756        0.481       340599.2          676.4    0.6023    0.1158      678.41       46.709      -81.393        1.145     1.76608             11.365
  29     -6.295       49.421          -4.918        0.494       340460.5          677.1    0.6071    0.1225      679.28       49.459      -80.900        0.954     1.76636             11.362
  30     -0.645       52.422          -6.180        0.517       340155.3          677.6    0.6103    0.1291      679.88       52.441      -80.369        0.083     1.76539             11.376
  31      3.271       54.488          -6.722        0.543       339927.1          677.7    0.6122    0.1330      680.14       54.508      -80.007        0.046     1.76492             11.378
  32      7.245       56.584          -7.355        0.573       339724.1          677.4    0.6145    0.1371      679.99       56.605      -79.658        0.022     1.76570             11.389
  33     11.403       58.778          -7.617        0.606       339373.9          676.5    0.6163    0.1418      679.31       58.800      -79.307       -0.007     1.76771             11.389
  34     16.301       61.363          -7.754        0.645       339056.1          675.6    0.6181    0.1481      678.60       61.385      -78.882       -0.021     1.77067             11.400
  35     23.271       65.043          -7.260        0.679       338548.9          674.7    0.6190    0.1549      678.00       65.064      -78.288       -0.107     1.77269             11.403
  36     28.307       67.701          -5.858        0.694       338183.8          674.1    0.6178    0.1590      677.60       67.722      -77.824       -0.139     1.77394             11.416
  37     31.927       69.611          -4.786        0.706       337981.2          673.9    0.6169    0.1624      677.47       69.633      -77.483       -0.158     1.77451             11.421
  38     36.627       72.091          -4.277        0.725       337560.3          673.1    0.6176    0.1675      676.95       72.114      -77.071       -0.179     1.77551             11.432
  39     43.101       75.508          -3.142        0.740       337048.7          671.5    0.6180    0.1739      675.69       75.531      -76.507       -0.222     1.77938             11.436
  40     48.876       78.558          -0.929        0.742       336544.5          669.4    0.6166    0.1791      673.82       78.579      -75.954       -0.241     1.78567             11.449
  41     52.645       80.547           1.183        0.743       336290.7          668.0    0.6146    0.1829      672.54       80.568      -75.555       -0.243     1.79090             11.456
  42     57.912       83.327           2.382        0.751       335786.0          667.3    0.6145    0.1887      672.19       83.348      -75.074       -0.255     1.79158             11.470
  43     64.778       86.952           4.759        0.727       335091.9          666.8    0.6128    0.1948      672.00       86.972      -74.431       -0.303     1.79096             11.478
  44     68.773       89.061           7.695        0.680       334673.5          665.5    0.6096    0.1983      670.88       89.081      -73.943       -0.337     1.79443             11.492
  45     73.856       91.744           9.526        0.673       334431.7          663.3    0.6093    0.2045      669.03       91.763      -73.441       -0.349     1.80243             11.501
  46     80.746       95.381          12.618        0.644       333392.9          660.9    0.6077    0.2120      667.04       95.400      -72.740       -0.367     1.80689             11.514
  47     85.569       97.928          16.280        0.584       332928.1          659.2    0.6039    0.2172      665.67       97.946      -72.131       -0.386     1.81166             11.528
  48     91.420      101.017          19.672        0.529       332310.9          657.8    0.6012    0.2239      664.69      101.034      -71.457       -0.406     1.81493             11.542
  49     96.180      103.531          23.772        0.450       331549.6          656.4    0.5969    0.2296      663.54      103.546      -70.790       -0.431     1.81787             11.557
  50    101.106      106.131          27.531        0.381       331062.8          654.5    0.5936    0.2359      662.03      106.147      -70.117       -0.447     1.82401             11.573
  51    106.735      109.103          32.025        0.294       330073.9          652.0    0.5899    0.2436      659.98      109.117      -69.333       -0.468     1.82963             11.587
  52    111.234      111.478          36.833        0.187       329393.9          649.6    0.5849    0.2503      658.03      111.492      -68.567       -0.492     1.83631             11.606
  53    116.680      114.353          41.605        0.078       328474.9          647.3    0.5809    0.2584      656.25      114.367      -67.722       -0.519     1.84202             11.623
  54    121.745      117.027          47.214       -0.055       327410.9          645.1    0.5754    0.2667      654.55      117.040      -66.792       -0.548     1.84677             11.645
  55    126.564      119.571          52.995       -0.194       326433.2          642.8    0.5697    0.2753      652.78      119.584      -65.822       -0.574     1.85249             11.664
  56    131.614      122.236          59.303       -0.346       325194.6          640.0    0.5637    0.2849      650.61      122.249      -64.744       -0.602     1.85905             11.688
  57    136.700      124.920          66.362       -0.516       323893.3          637.1    0.5567    0.2957      648.45      124.933      -63.541       -0.638     1.86629             11.712
  58    141.913      127.670          73.616       -0.708       322249.2          634.8    0.5499    0.3065      646.95      127.685      -62.217       -0.684     1.86667             11.736
  59    146.021      129.837          81.346       -0.916       320527.3          633.1    0.5421    0.3168      646.12      129.853      -60.881       -0.730     1.86182             11.741
  60    149.644      131.748          90.053       -1.132       318624.5          631.4    0.5326    0.3284      645.47      131.765      -59.395       -0.770     1.85540             11.744
  61    153.018      133.526          99.488       -1.364       316229.3          629.6    0.5226    0.3413      644.77      133.546      -57.706       -0.818     1.84638             11.749
  62    155.967      135.079         109.607       -1.600       313784.3          627.8    0.5117    0.3555      644.29      135.103      -55.836       -0.869     1.83703             11.754
  63    158.179      136.243         120.511       -1.832       310843.7          626.0    0.4998    0.3709      643.94      136.270      -53.748       -0.919     1.82429             11.755
  64    159.657      137.019         131.877       -2.048       307765.9          624.3    0.4874    0.3872      643.77      137.051      -51.464       -0.966     1.81031             11.763
  65    160.431      137.424         143.736       -2.235       304444.3          622.6    0.4743    0.4046      643.82      137.459      -48.970       -1.010     1.79449             11.765
  66    159.977      137.180         156.055       -2.390       300696.8          621.0    0.4603    0.4228      643.99      137.219      -46.251       -1.053     1.77581             11.772
  67    159.080      136.702         168.266       -2.503       296987.6          619.6    0.4466    0.4414      644.47      136.746      -43.389       -1.094     1.75652             11.776
  68    157.837      136.043         180.611       -2.576       292970.7          618.3    0.4331    0.4607      645.13      136.090      -40.321       -1.131     1.73507             11.781
  69    156.361      135.261         193.248       -2.608       288667.9          617.1    0.4200    0.4812      646.06      135.311      -37.010       -1.164     1.71136             11.785
  70    154.857      134.464         206.105       -2.599       284021.0          615.8    0.4076    0.5028      647.09      134.517      -33.467       -1.183     1.68572             11.789
  71    153.342      133.661         219.184       -2.558       279078.3          614.5    0.3961    0.5253      648.34      133.717      -29.728       -1.191     1.65772             11.792
  72    152.216      133.063         232.436       -2.508       273913.6          613.5    0.3858    0.5489      649.91      133.123      -25.800       -1.197     1.62734             11.794
  73    151.421      132.640         245.742       -2.456       268314.2          611.6    0.3777    0.5734      650.91      132.703      -21.738       -1.200     1.59751             11.795
  74    150.515      132.159         259.569       -2.385       262767.3          608.0    0.3708    0.5997      650.37      132.225      -17.675       -1.175     1.57799             11.802
  75    150.324      132.057         272.790       -2.358       256769.5          603.2    0.3659    0.6265      648.59      132.124      -13.673       -1.153     1.56225             11.830
  76    149.882      131.821         283.614       -2.487       250903.6          598.7    0.3627    0.6489      646.61      131.891      -10.194       -1.209     1.54550             11.869
  77    147.457      130.535         292.055       -2.746       246296.3          595.3    0.3578    0.6655      645.01      130.611       -7.456       -1.344     1.53212             11.902
  78    144.016      128.711         298.902       -2.993       242383.4          592.6    0.3516    0.6786      643.71      128.795       -5.019       -1.487     1.51871             11.936
  79    140.387      126.793         305.295       -3.091       238969.8          590.4    0.3455    0.6907      642.75      126.879       -2.542       -1.557     1.50576             11.967
  80    137.349      125.192         311.720       -3.033       235354.5          588.1    0.3410    0.7034      641.80      125.276       -0.007       -1.548     1.49065             11.996
  81    134.959      123.930         317.727       -2.929       231625.5          585.7    0.3382    0.7157      640.82      124.014        2.305       -1.527     1.47411             12.025
  82    132.720      122.742         322.818       -2.867       228137.8          583.6    0.3361    0.7265      639.90      122.833        4.179       -1.548     1.45771             12.054
  83    130.482      121.550         326.874       -2.844       225081.9          581.8    0.3344    0.7352      639.05      121.651        5.646       -1.603     1.44255             12.083
  84    128.169      120.318         330.105       -2.811       222374.7          580.2    0.3328    0.7423      638.17      120.431        6.793       -1.656     1.42859             12.110
  85    125.962      119.144         332.798       -2.726       219951.0          578.8    0.3313    0.7484      637.36      119.266        7.744       -1.678     1.41546             12.137
  86    123.854      118.025         335.013       -2.586       217689.5          577.4    0.3300    0.7536      636.49      118.153        8.531       -1.662     1.40282             12.163
  87    121.972      117.026         336.871       -2.416       215644.0          576.2    0.3290    0.7582      635.71      117.160        9.186       -1.629     1.39089             12.191
  88    120.157      116.056         338.443       -2.260       213615.0          575.2    0.3277    0.7623      635.04      116.202        9.715       -1.617     1.37790             12.214
  89    119.077      115.470         339.659       -2.130       211864.3          574.5    0.3270    0.7658      634.63      115.632       10.243       -1.609     1.36535             12.241
  90    118.026      114.902         340.447       -2.021       210397.9          573.7    0.3263    0.7683      633.94      115.077       10.655       -1.577     1.35509             12.263
  91    117.316      114.513         341.296       -1.937       209294.5          573.2    0.3255    0.7707      633.58      114.702       11.196       -1.550     1.34676             12.287
  92    116.359      113.993         341.947       -1.875       208006.2          572.6    0.3241    0.7727      633.04      114.197       11.755       -1.535     1.33678             12.308
  93    116.258      113.929         343.070       -1.810       207304.8          573.5    0.3222    0.7753      634.07      114.144       12.711       -1.480     1.32685             12.332
  94    115.703      113.619         343.962       -1.829       206498.6          575.6    0.3189    0.7765      636.13      113.851       13.738       -1.506     1.31638             12.347
  95    115.953      113.747         346.733       -1.870       207635.7          579.7    0.3133    0.7797      640.71      113.983       15.754       -1.403     1.31587             12.353
  96    112.505      111.909         347.103       -1.971       208801.5          579.4    0.3078    0.7770      640.17      112.163       16.376       -1.492     1.32007             12.333
  97    102.085      106.333         340.365       -2.332       210450.6          575.8    0.3045    0.7587      634.72      106.663       12.594       -2.075     1.33263             12.354
  98     90.615      100.132         328.816       -2.959       213364.0          576.8    0.3065    0.7291      632.92      100.609        6.443       -3.024     1.34674             12.347
  99     83.271       96.166         323.885       -3.253       216726.4          580.8    0.3028    0.7150      635.40       96.733        3.386       -3.502     1.35429             12.377
 100     90.261       99.961         329.846       -2.754       217077.0          582.8    0.2965    0.7296      638.67      100.422        6.360       -2.510     1.34498             12.352
 101     97.785      104.012         337.179       -2.128       214767.3          582.5    0.2918    0.7473      640.06      104.394       10.360       -1.703     1.32706             12.363
 102    101.295      105.887         343.486       -1.676       213969.2          583.4    0.2880    0.7607      642.44      106.246       13.772       -1.354     1.31730             12.346
 103    105.747      108.262         348.623       -1.245       212606.1          583.9    0.2882    0.7724      644.27      108.596       16.634       -1.027     1.30496             12.349
 104    108.665      109.819         353.057       -0.857       211627.8          584.8    0.2884    0.7818      646.34      110.136       18.972       -0.795     1.29440             12.342
 105    111.980      111.582         357.030       -0.461       210480.2          585.6    0.2906    0.7904      648.30      111.886       20.964       -0.561     1.28336             12.346
 106    114.164      112.738         360.188       -0.117       209746.1          586.6    0.2923    0.7967      650.22      113.039       22.477       -0.389     1.27477             12.342
 107    116.167      113.792         362.818        0.220       209142.6          587.6    0.2944    0.8019      652.10      114.096       23.619       -0.235     1.26702             12.344
 108    117.380      114.427         364.803        0.506       208867.1          589.0    0.2954    0.8052      654.09      114.736       24.500       -0.121     1.26075             12.340
 109    118.331      114.923         366.840        0.886       208722.2          590.4    0.2966    0.8086      656.12      115.238       25.368        0.039     1.25531             12.344
 110    119.083      115.310         367.893        1.116       208575.7          592.1    0.2968    0.8097      658.16      115.635       25.869        0.125     1.24925             12.347
 111    126.156      119.232         399.007        5.699       210195.7          606.8    0.3228    0.8644      682.25      119.368       39.872        2.733     1.20704             12.311
