
OVERALL TURBINE PERFORMANCE
============================================================
Blade-jet speed ratio     0.3965
Pitchline loading         2.7095
Total-Total PR            5.0254
Total-Static PR           5.5853
Energy Extraction           342.3555
Corrected Speed           32.5766
Flow function           0.9440

STAGE PERFORMANCE
====================================================================================================
Stage  Location     Alpha1    Alpha2     Beta2     Beta3    Alpha3      Phi       Psi    Reaction
    1       Hub      -2.16      78.08      68.85     -76.18     -40.91    0.3342    1.8800      0.3418
    1      Mean      -3.64      72.54      51.08     -64.35     -17.73    0.6975    1.5787      0.4161
    1       Tip      -5.18      80.09       2.60     -48.52      17.92    0.4902    0.9765      0.4588
    2       Hub     -61.68      73.68       1.93     -67.83     -14.29    0.4516    1.5441      0.3751
    2      Mean     -27.21      64.63      -6.62     -59.55       3.49    0.7023    1.1870      0.4236
    2       Tip      16.84      70.75     -48.49     -54.33      17.74    0.6426    0.8712      0.4865


Span station K = 19

  J       %dVm        Vx(m/s)      Vtheta(m/s)    Vr(m/s)       Pstat(Pa)       Tstat(K)    Mrel      Mabs        T0(K)       Vm(m/s)     Swirl(deg)   Pitch(deg)  Density(kg/m3)     mdot(kg/s)
--------------------------------------------------------------------------------------------------------------------------------------------
   1      3.230       58.233           0.000        0.193       341849.5          707.5    0.5850    0.1119      709.00       58.233      -78.970        0.190     1.68351    12.29811
   2      1.749       57.397          -0.546        0.198       341868.7          707.5    0.5857    0.1104      708.97       57.398      -79.143        0.191     1.68358    12.12175
   3      1.400       57.200          -1.154        0.221       341852.1          707.5    0.5868    0.1101      708.96       57.201      -79.200        0.210     1.68352    12.12793
   4      0.852       56.891          -1.753        0.247       341882.7          707.5    0.5878    0.1096      708.96       56.892      -79.277        0.231     1.68364    12.13242
   5      0.127       56.481          -2.451        0.271       341902.3          707.5    0.5890    0.1090      708.96       56.482      -79.375        0.251     1.68372    12.13357
   6     -0.746       55.989          -3.316        0.295       341925.9          707.5    0.5906    0.1084      708.96       55.990      -79.492        0.270     1.68381    12.13547
   7     -1.635       55.486          -4.332        0.317       341928.8          707.5    0.5924    0.1079      708.96       55.488      -79.616        0.285     1.68382    12.13448
   8     -2.580       54.953          -5.413        0.338       341932.2          707.6    0.5943    0.1075      708.96       54.955      -79.745        0.299     1.68384    12.13780
   9     -3.519       54.423          -6.488        0.358       341924.7          707.5    0.5963    0.1073      708.95       54.426      -79.873        0.311     1.68382    12.13653
  10     -4.617       53.803          -7.556        0.381       341916.2          707.5    0.5982    0.1070      708.96       53.806      -80.015        0.326     1.68379    12.14212
  11     -5.756       53.160          -8.684        0.404       341912.7          707.5    0.6003    0.1069      708.97       53.164      -80.162        0.342     1.68378    12.14141
  12     -7.024       52.444          -9.930        0.430       341864.2          707.5    0.6026    0.1069      708.96       52.449      -80.323        0.364     1.68360    12.14546
  13     -8.194       51.783         -11.275        0.455       341828.7          707.5    0.6051    0.1073      708.97       51.789      -80.474        0.383     1.68347    12.14428
  14     -9.450       51.074         -12.642        0.477       341751.2          707.4    0.6077    0.1079      708.96       51.080      -80.632        0.401     1.68319    12.14827
  15    -10.613       50.417         -13.941        0.498       341693.7          707.4    0.6102    0.1087      708.98       50.424      -80.779        0.414     1.68297    12.14579
  16    -11.879       49.702         -15.217        0.517       341585.8          707.4    0.6127    0.1097      708.97       49.710      -80.932        0.430     1.68257    12.15075
  17    -13.033       49.051         -16.523        0.534       341500.1          707.3    0.6152    0.1110      708.98       49.059      -81.074        0.439     1.68226    12.14917
  18    -14.262       48.357         -17.958        0.550       341364.3          707.2    0.6180    0.1126      708.97       48.366      -81.222        0.451     1.68176    12.15663
  19    -15.391       47.719         -19.393        0.564       341252.8          707.2    0.6208    0.1146      708.98       47.729      -81.359        0.456     1.68135    12.15524
  20    -16.586       47.044         -20.801        0.578       341097.2          707.1    0.6236    0.1167      708.98       47.054      -81.499        0.470     1.68078    12.16239
  21    -17.640       46.449         -22.021        0.588       340960.0          707.0    0.6261    0.1188      708.99       46.460      -81.621        0.471     1.68027    12.15883
  22    -18.750       45.823         -23.259        0.593       340779.4          706.9    0.6286    0.1211      708.99       45.834      -81.748        0.466     1.67958    12.16734
